state,chr_release_year,unemployment_rate,pct_frequent_mental_distress,income_inequality,social_associations,pct_uninsured,drug_overdose_deaths,pct_excessive_drinking,pct_adult_smoking
Idaho,2020,2.83774418,10.9502465,4.2699477058,7.4085161825,11.80736053,14.143555341,16.585566030000003,14.3493365
Idaho,2021,2.90838953,11.89859449,4.200779572,7.4050511684,13.13545646,14.282410612,17.10213814,14.96217822
Idaho,2022,5.3565684099999995,13.67190333,4.1008278022,7.2856891048,12.74920137,14.939869818,19.55761825,15.852726189999998
Idaho,2023,3.56879983,13.04572064,4.0241778506,7.0829864367,11.1555706,14.939869818,17.05263819,14.2
Illinois,2019,4.95808222,9.95558662,4.9842058129,9.8386608048,7.49399838,18.261441603,21.11437424,15.80194909
Illinois,2020,4.30249828,10.95022455,4.9794153328,9.9429597963,7.88852633,20.63130489,21.444618069999997,15.45940345
Illinois,2021,3.96885808,11.50950112,5.0080275664,9.986594543,8.11944338,21.693095608,21.53659848,15.88459016
Illinois,2022,9.46712753,12.73171242,4.9896744901,9.887292442,8.734728819999999,23.844466396,22.945807570000003,14.83168683
Illinois,2023,6.06029099,10.1669767,4.9667871279,9.7763421418,8.3676345,23.844466396,15.355156119999998,12.8
Indiana,2019,3.52552104,13.27882356,4.3949694385,12.274890612,9.45667207,23.208354445,18.59123098,21.14018267
Indiana,2020,3.43440514,15.04822338,4.370231421,12.323720252,9.608094,25.045332452,17.61904551,21.77782905
Indiana,2021,3.31560966,14.680152,4.3363610674,12.277569914,9.72986628,25.782797847,18.64616385,21.7150271
Indiana,2022,7.11156131,14.78137814,4.3256360999,11.993073903,10.32267376,27.99438031,17.694690050000002,19.912040750000003
Indiana,2023,3.5641750799999996,15.83520391,4.3254575707,11.877210693,8.97209709,27.99438031,18.3941772,20.200000000000003
Iowa,2019,3.12909762,10.11733994,4.2517205085,15.095577143,4.98012015,10.250626761,22.10636869,16.74289571
Iowa,2020,2.52364173,11.07655135,4.2396920311,15.242976866,5.47798164,9.9824628686,22.10570701,17.080017429999998
Iowa,2021,2.74954524,10.5339365,4.21507242,15.005647713,5.6099653,10.362775388,25.77276296,17.40317642
Iowa,2022,5.26036591,12.82256963,4.2003007078,14.807912344,5.7339037699999995,11.303697312,24.55226433,17.42549856
Iowa,2023,4.22855206,13.61136348,4.1821225194,14.483678361,5.74720248,11.303697312,24.65812821,16.8
Kansas,2019,3.62282432,10.03331586,4.3431108938,13.706927657,9.9407165,11.165759072,17.38775729,17.22376508
Kansas,2020,3.3621683,11.56150291,4.3475811535,13.710371996,10.13281869,11.349168802,18.67714248,17.384273519999997
Kansas,2021,3.16523602,12.63174392,4.3440937988,13.621821017,10.0977428,12.37133412,18.20806756,17.94102802
Kansas,2022,5.87904046,14.39015569,4.3313337777,13.503522106,10.71353455,14.166990135,20.00991543,16.83942979
Kansas,2023,3.23244493,14.31282153,4.355984094,13.230123498,10.33066661,14.166990135,19.65506397,17.2
Kentucky,2019,4.88731586,15.367358850000002,5.1215514443,10.608581434,6.02547767,31.975957204,15.778881210000002,24.47088085
Kentucky,2020,4.33244358,16.482534830000002,5.0826390686,10.691059585,6.36892325,32.186676737,17.25353786,24.59343153
Kentucky,2021,4.29480502,17.21471484,5.0264717503,10.58991559,6.67801073,31.821628013,17.160197569999998,24.10873744
Kentucky,2022,6.646322420000001,17.98067433,4.9583886886,10.569260552,7.64493206,35.621291841,18.20838545,24.53331593
Kentucky,2023,4.67423876,17.95593261,4.9565139424,10.372436122,6.922196510000001,35.621291841,16.83044575,22.2
Louisiana,2019,5.12786403,13.20422734,5.699915326,9.6098269291,11.83162954,21.123163861,18.461027,22.77381619
Louisiana,2020,4.88271463,16.59008926,5.6896003509,9.642781587,9.63473738,23.128513614,19.5900451,23.05077764
Louisiana,2021,4.82801834,16.33091235,5.7208514756,9.5300879103,9.28710868,25.119514218,19.72445823,21.08762124
